hourly_threshold_mm,product,model,development_rank,holdout_rank,rank_change_holdout_minus_development,development_CSI,holdout_CSI,development_FAR,holdout_FAR,development_top3,holdout_top3
10.0,complete_3h_same_numeric,UKMO_GLOBAL_10KM,3,4,1,0.0176,0.0294,0.9444,0.9444,True,False
10.0,episode_pm1h,CMA_GRAPES_GLOBAL,2,1,-1,0.0,0.0,1.0,,True,True
10.0,episode_pm1h,ECMWF_HRES,3,2,-1,0.0,0.0,,,True,True
10.0,episode_pm1h,GEM_GLOBAL,4,3,-1,0.0,0.0,1.0,1.0,False,True
10.0,episode_pm1h,GFS_GLOBAL,5,4,-1,0.0,0.0,1.0,1.0,False,False
10.0,episode_pm1h,ICON_SEAMLESS,6,5,-1,0.0,0.0,,,False,False
10.0,episode_pm1h,JMA_GSM,7,6,-1,0.0,0.0,,,False,False
10.0,episode_pm1h,METEOFRANCE_ARPEGE_WORLD,8,7,-1,0.0,0.0,,,False,False
10.0,episode_pm1h,UKMO_GLOBAL_10KM,1,8,7,0.0068,0.0,0.9688,1.0,True,False
10.0,episode_pm2h,CMA_GRAPES_GLOBAL,3,1,-2,0.0,0.0,1.0,,True,True
10.0,episode_pm2h,ECMWF_HRES,4,2,-2,0.0,0.0,,,False,True
10.0,episode_pm2h,GEM_GLOBAL,1,3,2,0.0081,0.0,0.8571,1.0,True,True
10.0,episode_pm2h,GFS_GLOBAL,5,4,-1,0.0,0.0,1.0,1.0,False,False
10.0,episode_pm2h,ICON_SEAMLESS,6,5,-1,0.0,0.0,,,False,False
10.0,episode_pm2h,JMA_GSM,7,6,-1,0.0,0.0,,,False,False
10.0,episode_pm2h,METEOFRANCE_ARPEGE_WORLD,8,7,-1,0.0,0.0,,,False,False
10.0,episode_pm2h,UKMO_GLOBAL_10KM,2,8,6,0.0068,0.0,0.9688,1.0,True,False
10.0,strict_hourly,CMA_GRAPES_GLOBAL,6,1,-5,0.0,0.0,1.0,,False,True
10.0,strict_hourly,ECMWF_HRES,2,2,0,0.0,0.0,,,True,True
10.0,strict_hourly,GEM_GLOBAL,1,8,7,0.0059,0.0,0.963,1.0,True,False
10.0,strict_hourly,GFS_GLOBAL,7,6,-1,0.0,0.0,1.0,1.0,False,False
10.0,strict_hourly,ICON_SEAMLESS,3,3,0,0.0,0.0,,,True,True
10.0,strict_hourly,JMA_GSM,4,4,0,0.0,0.0,,,False,False
10.0,strict_hourly,METEOFRANCE_ARPEGE_WORLD,5,5,0,0.0,0.0,,,False,False
10.0,strict_hourly,UKMO_GLOBAL_10KM,8,7,-1,0.0,0.0,1.0,1.0,False,False
20.0,cadence_aware_episode,CMA_GRAPES_GLOBAL,2,1,-1,0.0,0.0,,,True,True
20.0,cadence_aware_episode,ECMWF_HRES,3,2,-1,0.0,0.0,,,True,True
20.0,cadence_aware_episode,GEM_GLOBAL,1,3,2,0.0238,0.0,0.6667,1.0,True,True
20.0,cadence_aware_episode,GFS_GLOBAL,4,4,0,0.0,0.0,,1.0,False,False
